title|category|tags_string|date|content
Жюри определило победителей конкурса детских рисунков, посвященного Году семьи в России|Общество|ОблДума|28.06.2024|МАГАДАН. КОЛЫМА-ИНФОРМ. Состоялось заседание оргкомитета конкурса детских рисунков, посвященного Году семьи в России. Жюри оценило полсотни творческих работ колымских ребят и определило победителей во всех возрастных категориях.Конкурс проводит Департамент административных органов Магаданской области совместно с региональным отделением партии «Единая Россия» - активом партийного проекта «Крепкая семья», координатором которого на Колыме является заместитель председателя областной Думы Виктория Голубева.Конкурс проводится среди детей в возрасте от 7 до 18 лет в номинациях «Моя семья», «Традиции нашей семьи», «Увлечения нашей семьи» и «Год Семьи в России». Организаторы получили чуть более 50 рисунков, исполненных в различных техниках и с использованием всевозможных художественных материалов.Как рассказала Виктория Голубева, работы прислали ребята из Магадана, Усть-Омчуга, Олы, Талона. Много конкурсантов представляют областной детский дом, расположенный в поселке Ола.- Считаю, необходимо заниматься духовно-нравственным воспитанием и развитием творческого потенциала подрастающего поколения. Через такие конкурсы ребята узнают, что такое традиционные семейные ценности, и учатся их хранить, узнают больше об истории своей семьи, - отметила Виктория Голубева. – Рисунки на конкурс поступили замечательные, отражающие особенности нашего северного края, рассказывающие об очень добрых, теплых традициях, которые есть в семьях колымчан.Жюри определило победителей в трех возрастных группах. Также специальные призы будут вручены от Союза женщин России, партийного проекта «Крепкая семья», Управления Министерства юстиции и Магаданского областного союза организаций профсоюзов. Награждение пройдет 6 июля на «Семейном пикнике» в преддверии Дня семьи, любви и верности. Часть победителей получат награды позже на других площадках в своих населенных пунктах.
Магаданская областная Дума выпустила сборник «Законы Магаданской области-2023: социальные гарантии и экономическое развитие»|Власть и политика|ОблДума|20.03.2024|"МАГАДАН. КОЛЫМА-ИНФОРМ. Магаданская областная Дума выпустила сборник «Законы Магаданской области-2023: социальные гарантии и экономическое развитие». За прошлый год депутатами был принят 101 закон, из них: 15 базовых, 84 о внесении изменений в действующие законы, два о признании утратившим силу закона и отдельной статьи закона и об отмене закона. Об этом сообщили РИА ""КОЛЫМА-ИНФОРМ"" в пресс-службе Магаданской областной Думы.- Законодательная деятельность парламента была нацелена на эффективную реализацию национальных проектов, поступательное развитие экономики и сохранение на Колыме социальной стабильности, поддержку и повышение качества жизни наших земляков. Совершенствуя правовое пространство, депутаты ориентировались на активное участие Магаданской области в федеральных программах, использование современных механизмов комплексного развития территорий, привлечение инвестиций для модернизации инфраструктуры, открытие новых производств и создание рабочих мест. Благодаря принятым законам, регион поступательно развивался, экономика успешно адаптировалась к меняющимся реалиям, колымчане комфортно жили на Северо-Востоке России и сегодня уверенно смотрят в будущее, - уверен спикер заксобрания КолымыСергей Абрамов.Сборник состоит из 12 разделов, в которых представлена информация об основных принятых законах, касающихся социальной поддержки детей-сирот, молодых специалистов, многодетных семей. В нем можно узнать о гарантиях для семей участников специальной военной операции в случае потери кормильца и об освобождении от уплаты транспортного налога, о формировании бюджетов Магаданской области, Особой экономической зоны и Территориального фонда обязательного медицинского страхования, а также об организации перевозок пассажиров и багажа легковым такси, обеспечении общественного порядка, регулировании продажи алкоголя, налогообложении и медицинском страховании граждан.Издание будет распространяться через общественные приемные политических партий, а также доступно в здании Магаданской областной Думы и в электронном виде на официальном сайте заксобранияпо ссылке."
В Магаданской области полицейские устанавливают обстоятельства дорожной аварии на 201 километре автодороги Палатка – Кулу – Нексикан|Происшествия|ДТП|28.05.2023|МАГАДАН. КОЛЫМА-ИНФОРМ. 27 мая 2023 года около 17.25 в дежурную часть Отделения МВД России по Тенькинскому району поступило сообщение от граждан о том, что на 201 километре автодороги Палатка – Кулу – Нексикан произошло ДТП.Следственно-оперативной группой установлено, что 15-летний житель поселка Усть-Омчуг взял ключи от автомобиля «Тойота Ленд Крузер», принадлежащего его родителям, и в компании своих одноклассников решил прокатиться по улицам окружного центра.Выехав на трассу, в 20 километрах от посёлка Усть-Омчуг, подросток не справился с управлением и совершил съезд в кювет с последующим опрокидыванием транспортного средства.В результате ДТП водитель и четверо пассажиров внедорожника получили телесные повреждения. Бригадой скорой медицинской помощи пострадавшие были доставлены в Тенькинскую районную больницу.По факту дорожной аварии сотрудниками полиции проводится проверка, устанавливаются все обстоятельства произошедшего.Пресс-служба УМВД России по Магаданской области
No Title|Общество|None|No Date|No Content
No Title|Происшествия|None|No Date|No Content
Юрий Гришан; Мы внимательно следим за тем, что происходит на наших реках.|Разное|Паводки|30.11.2024|МАГАДАН. КОЛЫМА-ИНФОРМ. Мэр города Магадана прокомментировал ситуацию. которая складывается на реках в  окрестностях областного центра.- Сейчас в Магадане идет оттепель, температура +1 / +2 градуса, это создает новые проблемы на реках, лед остался, и вода начинает опять идти верхом. Я объехал, посмотрел речку Магаданку в районе мкрн. Солнечный, где улица Арманская, - пока там все спокойно, - прокомментировал ситуацию мэр Магадана Юрий Гришан. -  На Снежном вчера выполнили ряд работ, которые способствовали нераспространению воды по улице Береговой, от дома 37,б, и т. д. Сегодня мониторили сотрудники МЧС, работали днем и ночью, есть контрольные метки, вода в поселок не идет.А на Дукче в районе парка «Дюкча» есть затор, вода поднялась выше обычной отметки, по сути, она подходит к набережной. Вместе с водой может подняться и лед, что может привести к некоторым разрушениям, потому что лед и река – силища огромная. Сейчас мы наблюдаем, возможно, выше по течению выше парка «Дюкча» придется тоже привлекать тяжелую технику и заходить в реку. Делаем мы это не самостоятельно, все синхронизируется с Министерством природных ресурсов.Напоминаю, что режим чрезвычайной ситуации в связи с подтоплением в городе снят, сейчас находимся в режиме  повышенной готовности. Поэтому внимательно следим за тем, что происходит на наших реках.
Магаданский музыкальный и драматический театр - гастроли и премьеры. Репертуар на неделю.|Культура и искусство|Театр|12.10.2024|МАГАДАН. КОЛЫМА-ИНФОРМ. Какие постановки смогут увидеть магаданцы и гости Колымы в главном театре региона на следующей неделе:- 15 октября (вт) 15:00 и 19:00. «ВРЕДНЫЕ СОВЕТЫ» (6+). Фолк-рок-рэп-поп-фантазия для взрослеющих детей.ГАСТРОЛИ московского «Театра на Трубной».Балетмейстер – знаменитый хореограф Егор ДружининМагаданский музыкальный и драматический театр (пр. Карла Маркса, 30).https://clck.ru/3Dr5iX- 16 октября (ср) 19:00. «СПАСТИ КАМЕР-ЮНКЕРА ПУШКИНА» (16+). История несостоявшегося подвига.ГАСТРОЛИ московского «Театра на Трубной».Спектакль номинант премии «Золотая маска» 2013-2014 гг.Магаданский музыкальный и драматический театр (пр. Карла Маркса, 30).https://clck.ru/3Dr5v6- 17 октября (чт) 19:00. «КОГДА КИТЫ УХОДЯТ» (16+). Современная легенда.Премьера!Магаданский музыкальный и драматический театр (пр. Карла Маркса, 30).https://clck.ru/3Dr65a- 18 октября (пт) 19:00. «БАБИЙ БУНТ» (12+). Музыкальная комедия в 2х действиях.Магаданский музыкальный и драматический театр (пр. Карла Маркса, 30).https://clck.ru/3Dr6FJ- 19 октября (сб) 18:00. «КОКТЕЙЛЬ ПО-ФРАНЦУЗСКИ» (16+). Комедия-бурлеск в 2х действиях.Магаданский музыкальный и драматический театр (пр. Карла Маркса, 30).https://clck.ru/3Dr6Ps- 20 октября (вс) 18:00. «КОГДА КИТЫ УХОДЯТ» (16+). Современная легенда. Премьера!Магаданский музыкальный и драматический театр (пр. Карла Маркса, 30).https://clck.ru/3Dr6U7
Доверившись неизвестным, колымчанка лишилась почти 200 тысяч рублей|Происшествия|Мошенники|26.06.2024|МАГАДАН. КОЛЫМА-ИНФОРМ. В дежурную часть ОМВД России по городу Магадану с заявлением по факту мошенничества обратилась 66-летняя жительница областного центра. Выяснилось, что на номер телефона женщины позвонил неизвестный и представился сотрудником оператора сотовой связи. Под предлогом продления договора услуг злоумышленник выведал у пенсионерки конфиденциальную информацию: колымчанка по указанию «специалиста» поспешила сообщить код из входящего смс-сообщения.Далее звонок поступил якобы от сотрудницы федеральной службы по финансовому мониторингу. Она убедила заявительницу перечислить 190 тысяч рублей на «безопасный счет», чтобы защитить финансы от мошеннических действий.Следователем городского отдела полиции возбуждено уголовное дело по признакам преступления, предусмотренного ч. 2 ст. 159 УК РФ (мошенничество). Максимальная санкция – лишение свободы на срок до 5 лет.Пресс-служба УМВД России по Магаданской области
Колымские сенаторы выступили на «парламентской разминке» на очередном заседании Совета Федерации|Власть и политика|ОблДума|05.08.2024|"МАГАДАН. КОЛЫМА-ИНФОРМ. В Совете Федерации прошло очередное 574-е заседание. До начала рассмотрения вопросов повестки дня традиционно состоялась «парламентская разминка», посвященная актуальным социально-экономическим и политическим вопросам. На ней выступили сенаторы от Магаданской области: представитель законодательного органа власти Колымы Сергей Иванов и исполнительного органа – Анатолий Широков. Об этом сообщили РИА ""КОЛЫМА-ИНФОРМ"" в пресс-службе Магаданской областной Думы.Сергей Иванов, занимающий в Совете Федерации пост первого заместителя председателя Комитета по бюджету и финансовым рынкам, проинформировал коллег о четвертой встрече глав высших органов аудита стран БРИКС.Форум с участием аудиторов России, Бразилии, Индии, Китая и ЮАР проходил в Уфе. В нем также приняли участие представители Египта, Ирана, ОАЭ, Саудовской Аравии, ЮАР, Эфиопии, Республики Беларусь, а также Счетных палат российских регионов. Темой центральной встречи руководителей высших органов аудита стран БРИКС стал «Аудит устойчивого развития». Также одним из главных событий форума был круглый стол по обмену опытом на тему «Аудит на региональном и муниципальном уровнях».- По итогам встречи участники утвердили план работы на 2025–2026 годы, а также приняли Уфимскую декларацию, в которой отражен важный аспект – аудит устойчивого развития необходим с учетом национальных интересов и ценностей стран БРИКС, - акцентировал Сергей Иванов.Заместитель председателя Комитета по федеративному устройству, региональной политике, местному самоуправлению и делам Севера Анатолий Широков затронул тему рыболовства. Для предотвращения негативных последствий для рыбной отрасли России и рыбодобывающих регионов планируется подготовить обращение в Правительство РФ с просьбой внести корректировки в Постановление №959. Сенатор сообщил о подготовке совместно с депутатами законопроекта, предусматривающего рассрочку платежа на перезаключение договора на три года.Кроме того, сенаторы обсудили на «парламентской разминке» реализацию в регионах проекта «Инфраструктурное меню», предпринимаемые меры защиты граждан от мошенников, в том числе звонящих из колл-центров недружественных стран, итоги первых международных молодежных студенческих летних игр «Молодость Приморья», законопроект, исключающий приобретение за счет материнского капитала домов, непригодных для проживания."
В мэрии Магадана подвели итоги деятельности Совета молодежных общественных организаций|Разное|None|30.12.2010|"МАГАДАН. КОЛЫМА-ИНФОРМ.Обсудили проведение интеллектуальных игр, работу клубов выходного дня, мероприятия, посвященные 65-летию Победы в Великой Отечественной войне, работу городского слета «Магаданский меридиан».Наградили лауреатов конкурса «Мы выбираем жизнь». Его участники летом этого года провели множество мероприятий в поддержку здорового образа жизни. Они пропагандировали отказ от алкоголя, курения и наркотиков. Еще проводили профилактические лекции для студентов. На совещании также отметили эффективную работу Муниципального молодежного совета дублеров, сообщили РИА ""КОЛЫМА-ИНФОРМ"" в пресс-службе мэрии г.Магадана."
Делегация Магаданской области приняла участие в X Форуме молодёжи коренных народов «Российский Север 2024» в Салехарде|Общество|None|27.11.2024|"МАГАДАН. КОЛЫМА-ИНФОРМ. Это масштабное и значимое событие собрало молодых общественных деятелей, активистов из числа коренных народов, языковых специалистов, этноблогеров и дизайнеров, талантливых людей со всей страны и зарубежья, чтобы обсудить будущее молодёжи регионов российского Севера, Арктики и Дальнего Востока.  Об этом сообщили РИА ""КОЛЫМА-ИНФОРМ"" в Управлении информационной политики Правительства Магаданской области.Участники форума посетили ямальских оленеводов, погрузившись в жизнь кочевых народов Ямала, а команда из Ольского округа (https://t.me/okrug49ola) «Голубика» заслуженно заняла второе место в соревнованиях по этнобиатлону, проходивших в рамках форума.«Спасибо большое за возможность большой встречи  с представителями разных национальностей из числа коренных народов Севера и Дальнего Востока.Три дня мы плечом к плечу проводили время, вместе работали, ездили на стойбище, танцевали и пели. Желаю организаторам дальнейшей удачи и здоровья!» - поделилась участница форума от Ольского округа Светлана Покатилова.Форум молодёжи коренных народов «Российский Север» проходит на Ямале ежегодно и входит в форумную линейку Росмолодёжи.Фото: Светлана Покатилова"
Окунитесь в атмосферу волшебства: магаданцев приглашают на конкурс «Наряжаем ёлку вместе»|Разное|Новый Год|26.11.2024|МАГАДАН. КОЛЫМА-ИНФОРМ. Управление по делам молодёжи и связям с общественностью мэрии города проводит конкурс «Наряжаем ёлку вместе». Все жители Магадана, независимо от возраста, приглашаются принять участие в этом увлекательном творческом проекте.Цель конкурса – создать самую красивую и оригинальную новогоднюю игрушку, которая будет украшать одну из городских ёлок.Работы могут быть выполнены из различных материалов: бумаги, ткани, конфет и природных материалов, таких как шишки или сухие веточки.Минимальный размер игрушки – 50 сантиметров, а максимальный – 80 сантиметров в ширину и длину. Игрушку необходимо изготовить в тематике «Зимняя сказка».Для участия в акции необходимо прислать фотографию игрушки в официальную группу ВКонтакте «Молодежь Магадана» с указанием ФИО и контактным телефоном автора.Победители акции будут определены путём открытого голосования в официальной группе «Молодёжь Магадана».Проявите фантазию и создайте уникальную новогоднюю игрушку. Ваша работа станет неотъемлемой частью праздничной атмосферы и доставит радость всем жителям областного центра.0+
В Магадане стартует второй профессиональный конкурс «Заместитель руководителя образовательной организации-2024»|Образование|None|17.10.2024|"МАГАДАН. КОЛЫМА-ИНФОРМ. Второй раз в Магадане пройдет муниципальный профессиональный конкурс «Заместитель руководителя образовательной организации-2024». Его основная цель – выявление и поддержка актуального опыта работы заместителя руководителя в организации воспитательно-образовательного процесса, информационно-методической и инновационной деятельности, публичное признание личного вклада заместителя руководителя муниципальной образовательной организации в развитие образования, повышение статуса, формирование позитивного социального и профессионального имиджа заместителя руководителя муниципальной образовательной организации города Магадана в системе образования.  Об этом сообщили РИА ""КОЛЫМА-ИНФОРМ"" в пресс-службе мэрии г. Магадана.В муниципальном профессиональном конкурсе заместителей, который стартует 25 ноября, примут участие 7 человек из дошкольных образовательных организаций № 5, 33, 67, гимназий № 13, 24, английской, а также лицея № 14.Конкурс проводится по двум номинациям: «Заместитель руководителя дошкольной образовательной организации» и «Заместитель руководителя общеобразовательной организации».Программа конкурса включает заочный и очный этапы. В заочном этапе участники конкурса представляют конкурсное задание – управленческий (методический продукт), разработанный участником конкурса в период работы в образовательной организации и конкурсное «Портфолио». Экспертизу конкурсных материалов проводят опытные руководители и заместители руководителей образовательных организаций города.В очном этапе конкурса заместители руководителей образовательных организаций проведут педагогический совет «Мы разные, но мы вместе», в ходе которого продемонстрируют умение коллективно выработать управленческое решение по поэтапной реализации проблемы, примут участие в конкурсном испытании по решению профессиональных кейсов, целью которых является выявление и идентификация педагогических проблем, принятие профессиональных решений, оценка их эффективности, видение альтернатив и прогнозирование дальнейшего хода развития ситуации.Участники продемонстрируют творческий подход к решению конкурсных заданий, проблемных ситуаций, покажут свои профессиональные качества, а также покажут мастер-класс от заместителя «Формула успеха» и выступят с лекцией на тему «Идеи, достойные реализации».Конкурсные испытания будут проходить на базе Средней общеобразовательной (русской культурологической) школы № 2 с 25 по 28 ноября.Открытие муниципального профессионального конкурса «Заместитель руководителя образовательной организации-2024» состоится 23 ноября, закрытие – 29 ноября в 15.00 в большом зале Дворца детского (юношеского) творчества."
No Title|День в истории Колыми|None|No Date|No Content
На Колыме полицейские установили работника учреждения, который присвоил себе имущество на сумму свыше ста тысяч рублей|Происшествия|Сводка|22.11.2024|МАГАДАН. КОЛЫМА-ИНФОРМ. Сотрудниками уголовного розыска Отделения МВД России по Ягоднинскому району установлен 60-летний работник одного из учреждений, который присвоил себе вверенное имущество стоимостью 116 тысяч рублей. В сентябре он похитил из гаражных боксов в поселке Ягодное 10 автомобильных шин. Перед тем как уволиться, мужчина передал по акту своему руководителю имущество, стоящее у него в подотчете. Похищенные шины предприимчивый гражданин предварительно заменил другими.Спустя почти два месяца выяснилось, что казенное имущество не соответствует инвентаризационной описи.Дознавателем возбуждено уголовное дело по признакам преступления, предусмотренного ч. 1 ст. 160 УК РФ (присвоение или растрата). Максимальная санкция – лишение свободы на срок до двух лет.Фигурант допрошен. В отношении него избрана мера пресечения в виде подписки о невыезде.Участковым уполномоченным Ягоднинского отделения полиции установлен 41-летний ранее судимый гражданин, который нанес телесные повреждения 39-летней женщине. Конфликт произошел в ходе совместного распития алкоголя в квартире в поселке Ягодное.Дознавателем возбуждено уголовное дело по признакам преступления, предусмотренного ч. 1 ст. 112 УК РФ (умышленное причинение средней тяжести вреда здоровью). Максимальное наказание – лишение свободы на срок до трех лет.Участковым уполномоченным Отделения МВД России по Хасынскому району установлен 40-летний житель поселка Палатка. Находясь в нетрезвом виде, мужчина умышленно повредил чужую входную дверь в подъезде дома на улице Центральной. Ущерб составил около 37 тысяч рублей.Дознавателем возбуждено уголовное дело по признакам преступления, предусмотренного ч. 1 ст. 167 УК РФ (умышленное уничтожение или повреждение имущества). Максимальная санкция – лишение свободы на срок до двух лет.Всего за прошедшие сутки зарегистрировано 128 сообщений о происшествиях и преступлениях. В дежурные части за различные правонарушения доставлены 10 человек.Сотрудниками полиции также выявлены и пресечены другие преступные действия, по которым в настоящее время проводятся оперативно-следственные мероприятия.
В Магадане приступили к изготовлению новогодних ёлок (Видео)|Разное|Новый Год|15.11.2024|"МАГАДАН. КОЛЫМА-ИНФОРМ. Традиционно в ноябрьские дни Магаданский городской лесхоз встречает посетителей свежим хвойным ароматом. Специалисты занимаются переработкой порубочных остатков стланика, полученных в ходе противопожарных мероприятий.  Об этом сообщили РИА ""КОЛЫМА-ИНФОРМ"" в пресс-службе мэрии г. Магадана.Летом и осенью лесники чистили от растительности защитные минерализованные полосы в окрестностях Магадана. Проводили ежегодные работы по противопожарному обустройству лесов. Теперь они переквалифицировались в новогодних мастеров, с пользой перерабатывая порубочные остатки, создают праздник.Из веток стланика они делают пушистые ёлки для образовательных организаций и свободной продажи. Здесь уже царит новогоднее настроение. Не только потому, что в воздухе витает хвойный аромат: ощущение приближающегося праздника создают сами мастера. Они работают с добрым посылом и хорошим настроением.В этом году коллектив лесхоза заготовил более 300 складочных кубометров ароматных веток. Основой для елок служат жерди из порубочных остатков. Каждую веточку к будущему новогоднему дереву прикрепляют вручную.- Мы делаем елки разных размеров - от 1 до 6 метров. В день – около 5 штук в зависимости от высоты. Обычно самые востребованные – небольшие - от 1 до 2,5 метров. Пока не можем точно сказать, сколько штук получится, поскольку не все ветки подходят по своим декоративным свойствам. Для елок выбираем самые ровные и пушистые. Рассчитываем на 1000 штук, - рассказал руководитель горлесхоза Андрей Лепёшкин.Приобрести готовых зеленых красавиц и отдельные ароматные веточки в лесхозе можно будет уже в начале декабря. Цены на елки остались на уровне прошлого года. Так, самая маленькая ёлочка обойдётся в 1869 рублей, а двухметровая – в 3396 рублей.Специалисты рекомендуют после приобретения хранить ароматное деревце в прохладном месте и наряжать за несколько дней до Нового года, чтобы в праздник радоваться свежим зеленым иголочкам. Также магаданцам советуют размещать елочку подальше от отопительных приборов и постараться обеспечить в помещении достаточную влажность воздуха.Кедровый стланик содержит много смоляных ходов, поэтому имеет густой хвойный аромат, который обладает антимикробным и противовирусным свойствами. Поэтому елочка в праздничные дни не только украсит дом, но и защитит здоровье его обитателей."
16 ноября 1931 года организовано Московское представительство треста «Дальстрой»|День в истории Колыми|None|16.11.2024|МАГАДАН. КОЛЫМА-ИНФОРМ. 16 ноября 1931 года для координации деятельности треста с центральными органами управления в г. Москве Постановлением СТО № 522 организовано Московское представительство треста «Дальстрой».16 ноября 1933 года Приказом ОГПУ № 0123 контингент заключённых по Севвостлагу (Дальстрой) на 1934–1935 годы установлен в 50 000 человек.16 ноября 1957 года «Магаданская правда» сообщила, что коллектив радиоклуба собрал интересный материал по наблюдениям за искусственными спутниками Земли. Редакция журнала «Радио», проводившая Всесоюзный конкурс радиолюбителей, присудила Магаданскому радиоклубу второе место.
Число подписчиков госпабликов в Магаданской области превысило 155 тысяч|Общество|Соцсети|08.11.2023|МАГАДАН. КОЛЫМА-ИНФОРМ. Суммарно аудитория госпабликов составляет 115 млн подписчиковАудитория госпабликов бюджетных организаций региона составляет 155 214 пользователей, об этом рассказал руководитель ЦУР Павел Береговой.«Приводя эту статистику, важно понимать, что один пользователь может быть подписан на несколько пабликов в разных соцсетях и мессенджере Телеграм. Официальные страницы госучреждений Колымы позволяют оперативно информировать жителей региона по интересующим темам в сфере здравоохранения, образования, социальной защиты, культуры, спорта, а также предоставлять актуальную информацию о работе ведомств», – отметил Павел Береговой.Ранее заместитель гендиректора АНО «Диалог Регионы» Андрей Цепелев сообщил, что суммарно в России у госпабликов 115 миллионов подписчиков.«Из них почти 46 млн – уникальных подписчиков. Все паблики сегментированы по территориальному признаку: от федерального уровня до сельских поселений. Это самая масштабная и при этом самая точная система информирования граждан о сервисах учреждений и в целом о работе власти. Для АНО «Диалог Регионы» и ЦУР это большая ответственность – развивать госпаблики в регионах», – отметил Андрей Цепелев на форуме «ПРОФ-IT», добавив, что госпаблики стали самой удобной и точной системой коммуникации между представителями власти и гражданами.В Магаданской области для администраторов госпабликов регулярно проводятся образовательные семинары, которые позволяют повысить качество ведения страниц и коммуникации с подписчиками.Так, с начала года было проведено 19 мероприятий как в онлайн-, так и в офлайн-формате, Всего обучение прошли 224 человека. В конце декабря специалисты ЦУР планируют провести итоговое обучающее мероприятие и отметить лучших администраторов госпабликов.
